sentence	label	encoded_label
it was only within the past 2 years that my crying and anger and self-starvation forced him to move us back here.	distorted	1
i feel it since i was kid and until now it's getting worst, i also sleep paralyze and it's so scary and i feel like my soul is getting out when i sleep it occurred to me sometimes when i feel so depressed.	distorted	1
probably because i hate myself for how arrogant i am.	distorted	1
is this simply my adhd causing memory problems and getting bored, or should i be looking into something else? (i should also mention that i suspect that i have borderline personality disorder due to emotional neglect/abuse from my parents and suddenly 4 years ago all my friends (known them for 7+ years) abandoned me.	distorted	1
nothing matters to me, genocides, war, politics in general seem to be unimportant.	distorted	1
she got mad and assumed i was still thinking about that woman, when i told her before that conversation that i never loved that woman, nor i'm i thinking of her.	distorted	1
i think that this is a very negative thing, as people get angry at me because they think that i'm seeking attention, but i'm not.	distorted	1
she is constantly saying i'm irresponsible and she makes me feel like i'm always doing something wrong.	distorted	1
nothing had triggered it, but on and off after that i had more cry spells and i felt terrible some days.	distorted	1
i have become more moody lately and more negative, and nobody will let me forget it.	distorted	1
i know i should seek help, and i'm currently seeing a therapist for my anxiety, but i tend to get violent thoughts.	distorted	1
the only thing i could relate spanking to was the abuse that i witnessed my mother perpetrate in my home.	distorted	1
the problem now is that i'm 20 and i still have to face consequences of the past.	distorted	1
shortly after that my mom got sick and had some health issues which should be resolved by now, but she doesn't want to take care of herself and blames me and my brother for her not getting better.	distorted	1
i know it started because my home life was incredibly stressful when i was young, and i had a lot of problems up until the end of sophomore year.	distorted	1
i remember he made me cry almost everyday when we were doing my homework because i couldn't do things right.	distorted	1
however last night, he smoked a little bit of marijuana (he has before and has never acted weird) and after an hour, he began to shake uncontrollably.	distorted	1
sometimes now i end up responding out loud in public, only to realize i probably look crazy, then panic attacks start.	distorted	1
should we be upset? how do we make him understand that we are not ok with this behavior? thank you.	distorted	1
she told me she used to passed out in her room without no one knowing and sometimes think about suicide.	distorted	1
i feel no one understands me and have brooded over death a long time, though i havent taken active steps to end my life.	distorted	1
i should have the run of the school because i am in a tough program and getting good grades, but i am so afraid of judgment by others that i am almost torturing myself with thoughts and self-imposed rules and regulations.	distorted	1
thank you! *note: he's never once directed his anger at me, only at inanimate objects.	distorted	1
ever since i was diagnosed people have been acting as if i'm a violent person.	distorted	1
he admitted that he thinks i'm more attractive now and it concerns him, but he thinks i'm cheating because of a feeling he is getting.	distorted	1
i analyse every moment i'm near them, looking for signs of fear, hatred and disgust.	distorted	1
i won't say hate them nor would i wish them harm but i find it very hard to tolerate people…i think people in general are idiots.	distorted	1
i didn't have any kind of abusive childhood, the only unusual occurrence growing up was that i was raised by my father, who was widowed, since the age of three.	non-distorted	0
should i say something to her? i respect her time, i understand of course but for some reason this hurt my feelings so much.	distorted	1
i was never a social person, even when i was young, and it got worse as of now.	distorted	1
he tells me i'm worthless and a stupid disapointment to him and the rest of my family.	distorted	1
i am always walking on eggshells around him, its seems like everything i do and do't do make him so angry.	distorted	1
a strong feeling of laziness has taken over me and whenever someone tells me i should do these things i become defensive and genuinely irritated and sometimes angry.	distorted	1
i thought i was moving on only to realize i was just being used to forget the 'mean ex' or make the 'mean ex' jealous.	distorted	1
if i just let my head face downwards i feel like i am doing harm to my body and depriving myself of a universal right.	distorted	1
