sentence	label	encoded_label
healing takes time, but eventually, our broken hearts can mend and we can find happiness again.	non-distorted	0
they have a talent for bringing people together, and it creates a positive community.	non-distorted	0
happiness comes from within, and while having a partner can enhance our lives, it's not the only source of joy.	non-distorted	0
i think that her husband doesn't really mind if she goes or not, it's her choice but she should probably go just to be with him and to make new contacts or friendships.	non-distorted	0
he should help sometimes as well prepare the dinner and not only count on me all the time! i wish he would see how busy i am everyday and cannot expect me to be 100% perfect/reactive/careful all the time.	non-distorted	0
i now know the problem i need to solve and so i can research how to solve the problem such as high protein and caloric foods that will speed up her weight gain.	non-distorted	0
you arent failing, this is your first time at falling short of what the client wants, but only in the clients eyes, we are happy with your progress your ideas and your energy and this will have no impact on you or your position here.	non-distorted	0
he might be busy (work, met with someone), having the phone without battery or he might be in an area without phone signal.	non-distorted	0
i am capable of living a fulfilling and meaningful life.	non-distorted	0
you can try to find something else to be interested in, learn from, and try not to rely solely on your job to judge your skills.	non-distorted	0
i am surrounded by love and support.	non-distorted	0
break the work up into manageable amounts but take time out to relax and do for yourself, go for a run, have a relaxing bath with soothing music.	non-distorted	0
i will work hard to take care of my baby during this time where they need help, and then i will enjoy the different stages of their life and be the best parent i can be.	non-distorted	0
i'm thankful for the opportunities i've had in my life and try to make the most of them.	non-distorted	0
it is likely the participants were late to a meeting at some stage in their career, too. i will thank them for their understanding and explain the reason for my delay.	non-distorted	0
i am grateful for the opportunities and blessings in my life.	non-distorted	0
i recognize the value of setting boundaries and respecting the boundaries of others.	non-distorted	0
the way i see it, if she was indeed your sunrise, she would have been more reasonable and would have tried to have a discution with you about what is wrong and how to fix the relationship before just ending things flat like that.	non-distorted	0
i felt a lot of positive emotion as i was writing the letter. i haven't heard back from her, but i imagine it brightened her day to get this unexpected letter.	non-distorted	0
it isnt you, your work has always been good so pay no attention as we can have a chat with the client and get him to see how good this case and your design is. .	non-distorted	0
i acknowledge the importance of self-compassion and strive to practice it in my daily life.	non-distorted	0
they have a passion for their work, and it shows in their dedication.	non-distorted	0
i am sad that he is not calling me, because i like to hear him, i like when we talk and i am worried that he is bothered at work. i know all that. but its work and he doesnt control all things which come his way there and so he is just not able to call now.	non-distorted	0
its always hard to break a relationship with a close person, specially this kind of relationship. and it is normal and reasonable for you to think like this in the heat of the moment. but overtime you will recover.	non-distorted	0
it might be that they are going to a special occasion that has been organised by someone you don't know but knows your friends.	non-distorted	0
this is an unexpected turn of events. i'll remember to give myself at least 15 minutes margin before the meeting.	non-distorted	0
this shows me that my worst moods don't last forever. i tend to be around people more on the weekends, which helps.	non-distorted	0
if they are your true friends, then they will know how much you loved your mum and that you are dealing with things your own way.	non-distorted	0
it's never too late to learn from our mistakes and make positive changes in our lives.	non-distorted	0
as for the boss, you need to reach out to the boss and ask why they have not recognized any of your accomplishments and then highlight your top ones to show them what the situation was and what you did that benefited the company. .	non-distorted	0
taking action to prevent problems is important, but it's also important to balance that with self-care and relaxation.	non-distorted	0
your negative self-talk may be influencing your perceptions of others' feelings towards you. challenge those beliefs and focus on building positive self-esteem.	non-distorted	0
he's probably busy with something right now and can't answer. he'll probably call me back later. i should do something to not think about it now.	non-distorted	0
forming close relationships takes time and effort. don't give up and don't let setbacks or disappointments discourage you.	non-distorted	0
emotions are a natural and valid part of the human experience, and i am learning to manage them in healthy ways.	non-distorted	0
it really doesn't matter what other people think of me, my focus should be at excelling at my work activities, complying with the rules, anything else is non important .	non-distorted	0
my friends might be out without me but that's fine, i don't like going really anyway and it doesn't mean they don't like me.	non-distorted	0
she seemed really pleased that i appreciated her help. i felt good for cheering her up with such a small thing.	non-distorted	0
happiness is not solely dependent on having a partner, but on cultivating positive relationships with others and ourselves.	non-distorted	0
this condition doesn't define me, it's just something that happened. i just need to adapt my life around it. i just need to surround myself with positive people to support me with this situation.	non-distorted	0
recognize and defeat catastrophic thinking.	non-distorted	0
i'm proud of myself for being vulnerable and putting myself out there, even if it's not perfect.	non-distorted	0
showing love and dedication doesn't require constant worry; instead, focus on being present and supportive in the moment.	non-distorted	0
your life can be worthwhile, with or without a woman.  your mum expected you to be independent; don't dissapoint her.	non-distorted	0
i do not even know how to break the ice and thought about a 1000 stupids way to introduce myself before coming.	non-distorted	0
being a responsible adult involves more than just worrying; it's about taking action to make the world a better place and being a positive force in the lives of those around you.	non-distorted	0
focus on building meaningful connections with others rather than worrying about whether or not you are likable.	non-distorted	0
bullying victims usually luck self confidence and that's why they are targeted by those individuals, i can think of a dozen people that i knew from my student years that were weirdand differentyet they were popular and well liked by the majority of people.	non-distorted	0
i acknowledge the challenges in the world and strive to make a positive impact where i can.	non-distorted	0
birthdays can be a time of joy and celebration, regardless of family circumstances.	non-distorted	0
everything seems to be overwhelming at the moment, however, when you are in a better mood, you will definitely find there to still be time for your other plans and ambitions.	non-distorted	0
my boss is demanding for a reason, i might be not as productive as expected but i can start from there and get better so that there will not be any reason to be demanding.	non-distorted	0
if you are confident in yourself that you are a good and likeable person, accept that the fault lies in others if they genuinely dislike you.	non-distorted	0
it is difficult to accept that our children, to be individual, must learn their own way in the world.	non-distorted	0
no one really notices that your anxious as they will be too worried about their own anxiety or life problems and just paying attention to the information you give.	non-distorted	0
ensuring the safety and security of those around you is important, but it's also important to recognize that some things are beyond your control.	non-distorted	0
understanding complex topics may take time and effort, but it's not impossible.	non-distorted	0
they have a great sense of style and creativity, and it's inspiring.	non-distorted	0
i value the importance of self-reflection in personal growth.	non-distorted	0
being a good caretaker involves more than just worrying; it's about being there for someone when they need you and supporting them in practical ways.	non-distorted	0
everyone has unique qualities that make them likable to some people and not to others. embrace your uniqueness.	non-distorted	0
depression is treatable, and i am taking steps towards improving my mental health and well-being.	non-distorted	0
the world is full of beauty and wonder, and there are always new experiences to be had, no matter where we are.	non-distorted	0
it's clear everyone should show respect to each other. if someone is rude to you, don't do the same, show them you are a better person than them.	non-distorted	0
being a good friend, partner, or parent involves more than just worrying; it's about being present, supportive, and empathetic.	non-distorted	0
i am taking steps to protect myself from being taken advantage of in the future.	non-distorted	0
even in difficult times, we can find hope and joy by focusing on the things we are grateful for.	non-distorted	0
those that don't have issues of their own that they need to work through and it is very difficult for you to help them when you have your own thoughts and feelings to deal with.	non-distorted	0
you give up too easily. try to be more optimistic and have confidence in yourself. you have managed to get a job before so why has anything changed differently now.	non-distorted	0
he doesn't do that deliberately, he is a good man but not perfect. maybe he just forgot to charge the phone, as i once did and caused him so much worry.	non-distorted	0
anticipating potential issues is important, but excessive worry can lead to paralysis and prevent you from taking action.	non-distorted	0
it's possible to acknowledge potential risks without dwelling on them excessively or letting them consume your thoughts.	non-distorted	0
staying informed and prepared is important, but it's also important to prioritize your mental and emotional well-being.	non-distorted	0
i know i didn't do anything wrong. anyone can have bad days, maybe they are thinking about something else or preoccupied that didn't see what's happening around them.	non-distorted	0
feeling in control is important, but excessive worry can lead to a sense of overwhelm and helplessness.	non-distorted	0
regret is a normal emotion, but excessive worry can lead to a sense of overwhelm and prevent you from enjoying the present moment.	non-distorted	0
i am learning to trust my instincts and intuition.	non-distorted	0
i am proud of myself for the progress i have made.	non-distorted	0
i could meet very interesting people and some could even become friends. i dont need to put pressure on myself to find absolutely someone tonight; i can just relax and enjoy some nice socialising and music.	non-distorted	0
positive attracts more positive and negative attracts more negative.	non-distorted	0
it is possible for something to be less than perfect and still have worth (she still got a good tip).	non-distorted	0
while it's good to be proactive, excessive worry can be counterproductive and lead to unnecessary stress.	non-distorted	0
