sentence,Response
"Healing takes time, but eventually, our broken hearts can mend and we can find happiness again.",non-distorted
"They have a talent for bringing people together, and it creates a positive community.",non-distorted
"Happiness comes from within, and while having a partner can enhance our lives, it's not the only source of joy.",non-distorted
"I think that her husband doesn't really mind if she goes or not, it's her choice but she should probably go just to be with him and to make new contacts or friendships.",non-distorted
He should help sometimes as well prepare the dinner and not only count on me all the time! I wish he would see how busy I am everyday and cannot expect me to be 100% perfect/reactive/careful all the time.,distorted
I now know the problem I need to solve and so I can research how to solve the problem such as high protein and caloric foods that will speed up her weight gain.,non-distorted
"You arent failing, this is your first time at falling short of what the client wants, but only in the clients eyes, we are happy with your progress your ideas and your energy and this will have no impact on you or your position here.",non-distorted
"He might be busy (work, met with someone), having the phone without battery or he might be in an area without phone signal.",non-distorted
I am capable of living a fulfilling and meaningful life.,non-distorted
"you can try to find something else to be interested in, learn from, and try not to rely solely on your job to judge your skills.",non-distorted
I am surrounded by love and support.,non-distorted
"Break the work up into manageable amounts but take time out to relax and do for yourself, go for a run, have a relaxing bath with soothing music.",non-distorted
"I will work hard to take care of my baby during this time where they need help, and then I will enjoy the different stages of their life and be the best parent I can be.",non-distorted
I'm thankful for the opportunities I've had in my life and try to make the most of them.,non-distorted
"It is likely the participants were late to a meeting at some stage in their career, too. I will thank them for their understanding and explain the reason for my delay.",non-distorted
I am grateful for the opportunities and blessings in my life.,non-distorted
I recognize the value of setting boundaries and respecting the boundaries of others.,non-distorted
"The way I see it, if she was indeed your sunrise, she would have been more reasonable and would have tried to have a discution with you about what is wrong and how to fix the relationship before just ending things flat like that.",distorted
"I felt a lot of positive emotion as I was writing the letter. I havenâ€™t heard back from her, but I imagine it brightened her day to get this unexpected letter.",non-distorted
"It isnt you, your work has always been good so pay no attention as we can have a chat with the client and get him to see how good this case and your design is. ",non-distorted
I acknowledge the importance of self-compassion and strive to practice it in my daily life.,non-distorted
"They have a passion for their work, and it shows in their dedication.",non-distorted
"I am sad that he is not calling me, because I like to hear him, I like when we talk and I am worried that he is bothered at work. I know all that. But its work and he doesnt control all things which come his way there and so he is just not able to call now.",non-distorted
"Its always hard to break a relationship with a close person, specially this kind of relationship. And it is normal and reasonable for you to think like this in the heat of the moment. But overtime you will recover.",non-distorted
It might be that they are going to a special occasion that has been organised by someone you don't know but knows your friends.,non-distorted
This is an unexpected turn of events. I'll remember to give myself at least 15 minutes margin before the meeting.,non-distorted
"This shows me that my worst moods donâ€™t last forever. I tend to be around people more on the weekends, which helps.",non-distorted
"If they are your true friends, then they will know how much you loved your mum and that you are dealing with things your own way",non-distorted
It's never too late to learn from our mistakes and make positive changes in our lives.,non-distorted
"As for the boss, you need to reach out to the boss and ask why they have not recognized any of your accomplishments and then highlight your top ones to show them what the situation was and what you did that benefited the company. ",non-distorted
"Taking action to prevent problems is important, but it's also important to balance that with self-care and relaxation.",non-distorted
Your negative self-talk may be influencing your perceptions of others' feelings towards you. Challenge those beliefs and focus on building positive self-esteem.,non-distorted
