sentence,response,label
it was only within the past 2 years that my crying and anger and self-starvation forced him to move us back here.,distorted,distorted
"i feel it since i was kid and until now it's getting worst, i also sleep paralyze and it's so scary and i feel like my soul is getting out when i sleep it occurred to me sometimes when i feel so depressed.",distorted,distorted
probably because i hate myself for how arrogant i am.,distorted,distorted
"is this simply my adhd causing memory problems and getting bored, or should i be looking into something else? (i should also mention that i suspect that i have borderline personality disorder due to emotional neglect/abuse from my parents and suddenly 4 years ago all my friends (known them for 7+ years) abandoned me.",distorted,distorted
"nothing matters to me, genocides, war, politics in general seem to be unimportant.",distorted,distorted
"she got mad and assumed i was still thinking about that woman, when i told her before that conversation that i never loved that woman, nor i'm i thinking of her.",distorted,distorted
"i think that this is a very negative thing, as people get angry at me because they think that i'm seeking attention, but i'm not.",distorted,distorted
she is constantly saying i'm irresponsible and she makes me feel like i'm always doing something wrong.,distorted,distorted
"nothing had triggered it, but on and off after that i had more cry spells and i felt terrible some days.",distorted,distorted
"i have become more moody lately and more negative, and nobody will let me forget it.",distorted,distorted
"i know i should seek help, and i'm currently seeing a therapist for my anxiety, but i tend to get violent thoughts.",non-distorted,distorted
the only thing i could relate spanking to was the abuse that i witnessed my mother perpetrate in my home.,distorted,distorted
the problem now is that i'm 20 and i still have to face consequences of the past.,distorted,distorted
"shortly after that my mom got sick and had some health issues which should be resolved by now, but she doesn't want to take care of herself and blames me and my brother for her not getting better.",distorted,distorted
"i know it started because my home life was incredibly stressful when i was young, and i had a lot of problems up until the end of sophomore year.",non-distorted,distorted
i remember he made me cry almost everyday when we were doing my homework because i couldn't do things right.,distorted,distorted
"however last night, he smoked a little bit of marijuana (he has before and has never acted weird) and after an hour, he began to shake uncontrollably.",non-distorted,distorted
"sometimes now i end up responding out loud in public, only to realize i probably look crazy, then panic attacks start.",distorted,distorted
should we be upset? how do we make him understand that we are not ok with this behavior? thank you.,non-distorted,distorted
she told me she used to passed out in her room without no one knowing and sometimes think about suicide.,non-distorted,distorted
"i feel no one understands me and have brooded over death a long time, though i havent taken active steps to end my life.",distorted,distorted
"i should have the run of the school because i am in a tough program and getting good grades, but i am so afraid of judgment by others that i am almost torturing myself with thoughts and self-imposed rules and regulations.",distorted,distorted
"thank you! *note: he's never once directed his anger at me, only at inanimate objects.",non-distorted,distorted
ever since i was diagnosed people have been acting as if i'm a violent person.,distorted,distorted
"he admitted that he thinks i'm more attractive now and it concerns him, but he thinks i'm cheating because of a feeling he is getting.",distorted,distorted
"i analyse every moment i'm near them, looking for signs of fear, hatred and disgust.",distorted,distorted
i won't say hate them nor would i wish them harm but i find it very hard to tolerate people…i think people in general are idiots.,distorted,distorted
"i didn't have any kind of abusive childhood, the only unusual occurrence growing up was that i was raised by my father, who was widowed, since the age of three.",non-distorted,non-distorted
"should i say something to her? i respect her time, i understand of course but for some reason this hurt my feelings so much.",non-distorted,distorted
"i was never a social person, even when i was young, and it got worse as of now.",distorted,distorted
he tells me i'm worthless and a stupid disapointment to him and the rest of my family.,distorted,distorted
"i am always walking on eggshells around him, its seems like everything i do and do't do make him so angry.",distorted,distorted
a strong feeling of laziness has taken over me and whenever someone tells me i should do these things i become defensive and genuinely irritated and sometimes angry.,distorted,distorted
i thought i was moving on only to realize i was just being used to forget the 'mean ex' or make the 'mean ex' jealous.,distorted,distorted
if i just let my head face downwards i feel like i am doing harm to my body and depriving myself of a universal right.,distorted,distorted
"i also sometimes doubt that maybe i did not exposed my problem to therapist on appropriate way, or that my therapist do not want to tell me my accurate diagnosis because i could be frightened of the fact i'm having/developing psychosis.",distorted,distorted
i can't imagine having feelings for him and i feel guilty because i think he is looking for something i cannot give him and he is really nice and i don't want to hurt his feelings.,distorted,distorted
"it has got to the point where i have the first semester final exams next week and i have no idea what i am going to do, i can't seem to get into revision because i feel so panicked, which is just adding to the situation.",distorted,distorted
"her behavior is bizarre and she's started to tell me the same stories every time we're on the phone, just rambling.",non-distorted,distorted
it tells me i'm worthless and a failure.,distorted,distorted
"very often she has not only rejected me, but says that i am disgusting for wanting sex, ""don't come near me.",distorted,distorted
"my mother has always overreacted to stress, has anger issues, never seems 'there' and forgetful.",distorted,distorted
"i am embarrassed to go out in public, because i feel so ugly.",distorted,distorted
i am a loser and a failure.,distorted,distorted
for the past 3 years i have been depressed and i have no one to talk to about it.,distorted,distorted
i have allowed her to know i see and her her anger toward me yet she says nothing and makes decisions to further destroy the relationship thoughts plz.,distorted,distorted
i dont want to have these thoughts and would never act on them but i cant get rid of them and i am worried i will be branded or told i am going insane.,distorted,distorted
"i feel i've been reduced to being a cook, cleaner and errand-runner and i feel completely dumb and impotent because i do not have self-validating experiences.",distorted,distorted
we got into an argument and i told her we were going to have to move i can't stand living with him.,distorted,distorted
"i have little to no emotion and can't quite understand, nor do i care, about the emotions of others.",distorted,distorted
i want to give her an ultimatum to either take a medication later in the day to control her crying and raging or she has to leave but i am at a loss in how to word it.,distorted,distorted
i don't know how to start this at all but basically i constantly contradict myself or cannot make up my mind.,distorted,distorted
"i can't go back to my therapist because i am bad at explaining how i feel, and i don't have the energy to do so.",distorted,distorted
"however, i started realizing that all this time in isolation forced me to constantly focus on negative thoughts and i saw a significant decrease in my cognitive ability; things i could previously do quickly in high school took a lot longer now.",distorted,distorted
he said the only reason no one else would look at me without clothes is because i'm ugly.,distorted,distorted
"when i was younger i used to only think about killing specific people, but it can be anyone now.",distorted,distorted
what do i do when no one listens to me? i'm not going back to that psychiatric hospital because it was a waste of time and money.,distorted,distorted
i'm 16 years old and i'm completely and utterly depressed.,distorted,distorted
i often have disturbing thoughts that come from nowhere and i am alone most of the day.,distorted,distorted
i have also been getting angry over small issues that should have little effect on me….,distorted,distorted
i can't live my life if i can't stop worrying about her all the time.,distorted,distorted
even when i was younger i sometimes self injured and when she found out she said only crazy people did that and that i'm better than that(i don't self harm anymore) so i started listening to her and thinking that.,distorted,distorted
"i have moved 300 miles away from my home town to live with my partner so only have 2 good friends, i work in a busy office but he gets very paranoid and insecure.",distorted,distorted
i'm in a constant state of extreme rage i can't leave my living space because i can't control the rage when i'm around people.,distorted,distorted
when she does i just think and have to stop myself from acting but i just know that i could kill her.,distorted,distorted
"whenever i get angry and think about killing myself, i feel weak because i'm never able go through with it.",distorted,distorted
"i don't see the point of living anymore: i'm here because i'm afraid suicide if the only thing that makes sense for me to do now, but am open to other opinions.",distorted,distorted
i sometimes cry about this because i don't know what to do.,non-distorted,distorted
"every day i have thoughts of killing someone, it doesn't matter who, i just want to see them die by my hand.",distorted,distorted
"hello, i am writing because i feel like my life has been a vortex of chaos for the past several years and i'm having trouble fighting down the depression.",distorted,distorted
do you think i am over reacting? i feel betrayed.,non-distorted,distorted
i am speaking about it now as i used to just think that i was just an organized person but i am thinking now that because i have little control over my obsessions that it may be ocd.,distorted,distorted
when my mother or siblings says something to me i just stay silent and they think i'm ignoring them.,non-distorted,distorted
i suffered a horrible accident in which i fell from a height of 40 feet.,non-distorted,distorted
i put on different &masks throughout the day to interact with people and they don't seem to ever notice i'm deceiving them.,distorted,distorted
my 2 yr old son picks his nails constantly; they are down to the quick and i know they have to hurt.,non-distorted,distorted
"i always felt i could get by doing bare minimum, but life is coming fast and i fear i'm destined for failure.",distorted,distorted
