Sentence,Duplicate
"""I didn't finish my project perfectly, so it was a complete waste of time.""
",Original
"""Since I made a mistake, I must be terrible at my job.""
",Original
"I can't believe I said something so stupid; no one will ever take me seriously again.
",Original
"""If I can't do this on the first try, then I'm just not cut out for it.""
",Original
"""He didn't agree with me, so he must hate me.""
",Original
"I missed one workout session; my whole fitness routine is ruined.
",Original
"""I didn't get the promotion, which means I'll never succeed in my career.""
",Original
"""If I'm not happy all the time, my life is a disaster.""
",Original
"""She didn't text me back right away, so she must not want to be my friend anymore.""
",Original
"I didn't get a perfect score; I'm not smart enough.
",Original
"""I made one mistake in my diet, so I might as well give up on healthy eating altogether.""
",Original
"""If I can't afford a new car, then I'm a complete loser.""
",Original
"""I didn't win the award, so all my work must be worthless.""
",Original
"""If I'm not in a relationship, I'm completely unlovable.""
",Original
"""I lost the game, so I have no talent in sports.""
",Original
"""They criticized my idea, which means they think I'm incompetent.""
",Original
"""I'm not feeling cheerful today, so my whole week is ruined.""
",Original
"""If I'm not constantly busy, I'm lazy.""
",Original
"""I didn't get all A's this semester, so I must be a bad student.""
",Original
"""If I can't cook this meal perfectly, then I'm a terrible cook.""
",Original
"""I stumbled during my presentation, so everyone must think I'm an idiot.""
",Original
"""If I'm not the life of the party, then I'm totally boring.""
",Original
"""I didn't get the highest score on the test, so I'm not as smart as everyone else.""
",Original
"""If I can't solve this problem right now, then I'll never be able to solve it.""
",Original
"""I'm either a total success or a complete failure, there's no in-between.""
",Original
"""If I'm not thin, then I'm obese.""
",Original
"""I didn't get a reply to my email, so my colleagues must all dislike me.""
",Original
"""If I'm not constantly productive, then I'm a failure.""
",Original
"""I didn't get the job I interviewed for, so I must be unemployable.""
",Original
"""I forgot to call my friend on their birthday, so I'm the worst friend ever.""
",Original
"""If I can't run a marathon now, I'll never be a runner.""
",Original
"""I made a small error on my taxes, so I'm terrible with money.""
",Original
"""If my kids don't listen to me once, I must be a bad parent.""
",Original
"""I didn't get every question right in trivia, so I must be dumb.""
",Original
"""If I'm not the top student in my class, then I'm not intelligent at all.""
",Original
"""I didn't sell as much as my colleague today, so I'm a failure at sales.""
",Original
"""If I can't meditate for an hour, then meditation isn't for me.""
",Original
"""My drawing isn't exactly how I wanted it, so I have no artistic talent.""
",Original
"""If my home isn't spotless, then it's completely filthy.""
",Original
"""I didn't nail the interview, so no company will ever hire me.""
",Original
"""If I can't lift as much weight as others at the gym, then I'm weak.""
",Original
"""My blog post didn't go viral, so I'm a terrible writer.""
",Original
"""If my YouTube channel doesn't get thousands of subscribers instantly, it's a flop.""
",Original
"""I didn't save as much money this month as I planned, so I'm hopeless with finances.""
",Original
"""If my partner and I argue, it means our relationship is doomed.""
",Original
"""My cake didn't turn out like the picture, so I'm a disaster in the kitchen.""
",Original
"""If everyone doesn't laugh at my joke, then I'm not funny at all.""
",Original
"""My business didn't turn a profit in its first year, so it's bound to fail.""
",Original
"""If I don't get straight A's, then my future is ruined.""
",Original
"""My team lost one match, so we're the worst team in the league.""
",Original
