I forgot to attach the document to the email; my boss is definitely going to fire me.
If I don't get a perfect score on this test, I'll never get into a good college and my future will be ruined.
My friend hasn't replied to my text for hours; she must hate me and we'll probably never speak again.
I made one mistake at work today; now everyone will think I'm incompetent and it's only a matter of time before I lose my job.
The pain in my back has gotten worse; it must be something serious like cancer or an incurable disease, and I'm sure it's too late for treatment.
It rained on the day of our yard sale; this is a sign that all our plans are doomed to fail, and we're never going to make any money.
My partner seemed distant during dinner tonight; they're probably thinking about breaking up with me which means I'll end up alone forever.
I stumbled during my presentation; now everyone will believe I'm not cut out for this job and it's only a matter of time before I'm demoted.
My son got a C on his report card; he's going to fall behind, drop out of school, and have no future prospects.
The cashier at the store gave me a short glance; she must think I'm weird or annoying, and probably talks about me to all her coworkers.
I haven't heard back from the doctor yet; it has to be bad news, maybe a terminal illness, and my days are numbered.
We had an argument over dinner; this is surely the beginning of the end of our relationship, and it's all downhill from here.
I lost my keys today; this day is cursed, nothing else will go right and everything is going to spiral out of control.
There was a typo in my report; my reputation for being meticulous is ruined forever and people will question my professionalism from now on.
I was late to the meeting this morning; my colleagues must think I'm lazy and unreliable, which means I'll never be considered for a promotion.
My child argued with me today; she must completely resent me, and we're going to have a strained relationship forever.
The dinner I cooked didn't turn out as expected; my family probably thinks I'm a terrible cook and they'd rather eat anywhere but home.
I tripped in public; everyone who saw it must think I'm so clumsy and are probably laughing at me behind my back.
My phone died while I was out; there could have been an emergency and without my phone, it would mean disaster for everyone relying on me.
The grocery store was out of my favorite snack; this always happens to me because bad luck just follows wherever I go.
No one liked my post on social media within the first hour; they must all find me uninteresting or annoying, which means no one truly cares about what's happening in my life.
My new haircut isn't exactly how I wanted it; people will definitely notice and think that I have poor taste or can't take care of myself properly.
Someone yawned during my talk; they must've found what I had to say utterly boring, implying that everything else about me is dull too.
A bird pooped on my shoulder when walking outside; this has to be an omen that today is going to be filled with misfortune and embarrassment for me.
I spilled coffee on my shirt; everyone at work will notice and think I'm a slob, which means no one will take me seriously anymore.
My neighbor didn't wave back to me this morning; she must despise me now, so I'll be ostracized by the entire community.
I received a lower bonus than expected; this is surely because my boss thinks I'm worthless, and it's probably the end of my career at this company.
The kids were quiet when I picked them up from school today; they must be unhappy with me as a parent and our relationship is going to suffer irreparably.
I heard someone laugh as I walked by; they're definitely laughing at me because they find something wrong with how I look or act.
My project proposal was rejected; this means that all my ideas are terrible and no one respects my professional input.
Someone took the parking spot I was waiting for; nothing goes right for me ever, it's like the universe is conspiring against me every single day.
The restaurant got my order wrong again; it’s clear that bad service follows me wherever I go, and eating out is always going to be a miserable experience for me.
My best friend canceled our plans last minute; he probably doesn't value our friendship anymore, which means we're likely drifting apart forever.
Our team lost the game tonight; we’re definitely the worst team in history and there’s no chance of us ever improving or winning any games.
I accidentally called my colleague by the wrong name; now they'll think I don't respect them and our working relationship is ruined.
I overcooked the meal; my guests are going to think I'm a hopeless cook and will never want to come over again.
My child didn’t wave goodbye when I dropped them off at school; they must be mad at me, and this means we're growing apart.
The internet was down during my online exam; now it's certain that I've failed the course and my academic career is over.
I sneezed during the quiet part of the concert; everyone must be annoyed with me, thinking that I ruined their experience on purpose.
My application for an apartment was declined; no one will ever rent to me, and I’ll be homeless forever.
The vending machine took my money without dispensing anything; this kind of bad luck happens only to me, proving that things will always go wrong in my life.
A stranger bumped into me on the street and didn’t apologize; people nowadays have no decency left, so society must be falling apart.
No one commented on the new outfit that I wore today; they probably all think it looks terrible on me and are silently judging my fashion sense.
My dog ignored me when I came home today; he doesn't love me anymore, which means he might never listen to or obey me again.
I missed the bus this morning; now my whole day is ruined and nothing will go right.
I didn't get invited to the party; it means everyone dislikes me and I'll always be excluded from social events.
My internet connection was slow during an important video call; my boss will think I'm not tech-savvy and consider firing me.
I saw a couple arguing in public; relationships are doomed to fail, and love can never last.
My toddler threw a tantrum at the store; other parents must think I'm terrible at parenting, and my child will grow up unruly.
The ATM malfunctioned while I was using it; now all of my finances are probably compromised, leading to financial ruin.
Someone criticized my work project harshly; they must believe that everything else I do is just as bad, so my career prospects are hopeless.
A friend postponed our meet-up twice; clearly, they no longer enjoy spending time with me, signaling the end of our friendship.
My favorite show got canceled after one season; all shows that I like get canceled early, so there's no point in watching anything new again.
The grocery store ran out of organic produce today; this always happens when I try to eat healthily—it's impossible for me to maintain a good diet.
I missed one question on the quiz; I'm clearly not cut out for this subject and I'll probably fail the entire course.
My roommate didn't say good morning to me; she must be mad at something I did and we're going to have a huge fight.
The bus was late today; public transportation is always unreliable when I need it most, so I'm bound to be late forever.
My phone's screen cracked slightly; it's just a matter of time before the whole thing stops working and all my data is lost.
Nobody complimented my presentation at work today; they must have all found it unimpressive and now my career advancement is in jeopardy.
The restaurant messed up my meal order; every time I try to have a nice meal out, something goes wrong – dining out is always disappointing for me.
I forgot to wish my friend happy birthday on their actual birthday; they'll think that I don't care about them and our friendship will never recover.
It took me a long time to find parking today; this city is becoming impossible to live in, and everything here is just getting worse.
My child said they were bored once during the weekend; nothing entertains them anymore, so they're destined for delinquency or unhappiness.
A joke I made didn't get any laughs in the group chat; everyone must think I'm not funny at all, which means no one really enjoys having me around.
The scale showed that I gained a pound since yesterday despite dieting and exercising; clearly these efforts are useless, and there's no point in trying anymore.
Every plant that comes into my house dies eventually despite proper care - obviously, nothing can thrive under my roof.
