sentence,Response
"healing takes time, but eventually, our broken hearts can mend and we can find happiness again.",Non-distorted
"they have a talent for bringing people together, and it creates a positive community.",Non-distorted
"happiness comes from within, and while having a partner can enhance our lives, it's not the only source of joy.",Non-distorted
"i think that her husband doesn't really mind if she goes or not, it's her choice but she should probably go just to be with him and to make new contacts or friendships.",Distorted
he should help sometimes as well prepare the dinner and not only count on me all the time! i wish he would see how busy i am everyday and cannot expect me to be 100% perfect/reactive/careful all the time.,Distorted
i now know the problem i need to solve and so i can research how to solve the problem such as high protein and caloric foods that will speed up her weight gain.,Distorted
"you arent failing, this is your first time at falling short of what the client wants, but only in the clients eyes, we are happy with your progress your ideas and your energy and this will have no impact on you or your position here.",Distorted
"he might be busy (work, met with someone), having the phone without battery or he might be in an area without phone signal.",Distorted
i am capable of living a fulfilling and meaningful life.,Non-distorted
"you can try to find something else to be interested in, learn from, and try not to rely solely on your job to judge your skills.",Distorted
i am surrounded by love and support.,Non-distorted
"break the work up into manageable amounts but take time out to relax and do for yourself, go for a run, have a relaxing bath with soothing music.",Non-distorted
"i will work hard to take care of my baby during this time where they need help, and then i will enjoy the different stages of their life and be the best parent i can be.",Non-distorted
i'm thankful for the opportunities i've had in my life and try to make the most of them.,Non-distorted
"it is likely the participants were late to a meeting at some stage in their career, too. i will thank them for their understanding and explain the reason for my delay.",Non-distorted
i am grateful for the opportunities and blessings in my life.,Non-distorted
i recognize the value of setting boundaries and respecting the boundaries of others.,Non-distorted
"the way i see it, if she was indeed your sunrise, she would have been more reasonable and would have tried to have a discution with you about what is wrong and how to fix the relationship before just ending things flat like that.",Distorted
"i felt a lot of positive emotion as i was writing the letter. i haven't heard back from her, but i imagine it brightened her day to get this unexpected letter.",Distorted
"it isnt you, your work has always been good so pay no attention as we can have a chat with the client and get him to see how good this case and your design is. .",Distorted
i acknowledge the importance of self-compassion and strive to practice it in my daily life.,Non-distorted
"they have a passion for their work, and it shows in their dedication.",Non-distorted
"i am sad that he is not calling me, because i like to hear him, i like when we talk and i am worried that he is bothered at work. i know all that. but its work and he doesnt control all things which come his way there and so he is just not able to call now.",Distorted
"its always hard to break a relationship with a close person, specially this kind of relationship. and it is normal and reasonable for you to think like this in the heat of the moment. but overtime you will recover.",Distorted
it might be that they are going to a special occasion that has been organised by someone you don't know but knows your friends.,Distorted
this is an unexpected turn of events. i'll remember to give myself at least 15 minutes margin before the meeting.,Non-distorted
"this shows me that my worst moods don't last forever. i tend to be around people more on the weekends, which helps.",Distorted
"if they are your true friends, then they will know how much you loved your mum and that you are dealing with things your own way.",Distorted
it's never too late to learn from our mistakes and make positive changes in our lives.,Non-distorted
"as for the boss, you need to reach out to the boss and ask why they have not recognized any of your accomplishments and then highlight your top ones to show them what the situation was and what you did that benefited the company. .",Distorted
"taking action to prevent problems is important, but it's also important to balance that with self-care and relaxation.",Non-distorted
your negative self-talk may be influencing your perceptions of others' feelings towards you. challenge those beliefs and focus on building positive self-esteem.,Distorted
